India_news_data
Source,Title,Author,Content/Description,Date
The Times of India,"Obama speaks to Modi on climate sticking points
",,"Just as the climate conference presidency was about to release the first review of the draft Paris agreement, US secretary of state John Kerry kicked off hectic parleys outside the negotiation rooms by first meeting India’s environment minister Prakash Javadekar late on Tuesday night. The meeting was aimed at arriving at a consensus on key issues of finance, equity, differentiation and review mechanism.


Immediately after the meeting, US president Barack Obama called Prime Minister Narendra Modi to discuss the progress made in the negotiations — an indication that the sticky points were yet to be resolved.
The night’s breakneck activity was followed by Kerry making a strong call to arrive at a “legally binding” deal with a “transparent system” to save the world from disastrous consequences of climate change.
In his maiden speech at the conference, Kerry cited examples of Chennai floods, Beijing’s smog and other extreme weather events to pitch for an agreement.

Referring to the Chennai floods, he said these were “warning signals” that no rational person should ignore, adding that he stood by the victims of the disaster.
Citing other examples from Vietnam to Alaska, he appealed to the representatives of 196 countries to arrive at an effective deal as the on-going summit may be the best chance that “we have to correct the course our planet is on”.
Renewable energy, Kerry said, would go a long way in solving the problem and a successful summit would send a strong signal to markets across the world. Noting the efforts made by Prime Minister Narendra Modi through the International Solar Alliance and Mission Innovation, he said these were remarkable initiatives that would not be a part of the agreement but would complement it in a big way.


Steering clear of the finer details of the negotiations, he made it clear that the US respected the principle of Common but Differentiated Responsibility (CBDR) and respective capabilities of nations, but said his country would like an agreement with a legally binding enforcement system that will reassure investors who have to carry the low-carbon economy beyond what governments can do.
Kerry announced that the US would double its contribution to helping vulnerable nations adapt to climate change impacts, pledging to increase the amount of money it provides for climate adaptation grants to $860 million from $430 million by 2020.
“Today’s commitment to double that figure is a component of an existing commitment by developed countries to jointly mobilize $100 billion per year by 2020 from a wide variety of sources, in the context of meaningful mitigation actions and transparency on implementation,” the US state department later said in a statement.
Referring to clean energy technology and on-going efforts worldwide to reduce emission, Kerry in his speech noted that the Paris agreement was not only meant for keeping the world stay within the 2 degree Celsius temperature rise limit but it would also send the marketplace an “extraordinary signal” of commitment to clean energy.
“Make no mistake. If, as a global community, we refuse to rise to this challenge... if we continue to allow calculated obstruction to derail the urgency of this moment... we will be liable for a collective moral failure of historic consequence,” he said.
“We are not just responsible to ourselves — we are responsible to the future generations...our kids and grand kids”, said Kerry",2015 - 12 - 10 
The Times of India,"Ban Ki-moon terms Paris deal 'monumental triumph' for planet Earth
",,"UN chief Ban Ki-moon has termed the historic climate change agreement reached in Paris as a ""monumental triumph"" for planet Earth that will set the stage for achieving an end to poverty and development for all.
""In the face of an unprecedented challenge, you have demonstrated unprecedented leadership,"" the UN secretary general said taking the COP21 stage just minutes after the adoption of the agreement.


""You have worked collaboratively to achieve something that no one nation could achieve alone. This is a resounding success for multilateralism.""
In a landmark deal, 195 Parties to the UN Framework Convention on Climate Change pledged to curb emissions, strengthen resilience and take common climate action.

""The Paris Agreement is a monumental triumph for people and our planet,"" Ban said in a tweet, immediately following the adoption of the new Paris Agreement. ""It sets the stage for progress in ending poverty, strengthening peace and ensuring a life of dignity and opportunity for all.""
Recalling that he made climate change one of the defining priorities of his tenure, Ban said that most of all, he has listened to people - the young, the poor and the vulnerable, including indigenous peoples, from every corner of the globe.


""They seek protection from the perils of a warming planet, and the opportunity to live in a safer, more bountiful world,"" he said. ""They have demanded that world leaders act to safeguard their well-being and that of generations to come.""
Turning to the agreement itself, the Secretary-General said negotiators reached ""solid results on all key points,"" with an agreement that demonstrates solidarity and ""is ambitious, flexible, credible and durable.""
""All countries have agreed to hold global temperature rise to well below 2 degrees Celsius. And recognizing the risk of grave consequences, you have further agreed to pursue efforts to limit temperature increase to 1.5 degrees,"" he said.
In addition, a review mechanism has been established whereby every five years, beginning in 2018, Parties will regularly review what is needed in line with science.
""Governments have agreed to binding, robust, transparent rules of the road to ensure that all countries do what they have agreed across a range of issues,"" Ban added.
""When historians look back on this day, they will say that global cooperation to secure a future safe from climate change took a dramatic new turn here in Paris,"" Ban said.
""Today, we can look into the eyes of our children and grandchildren, and we can finally say, tell them that we have joined hands to bequeath a more habitable world to them and to future generations.""
Several other top UN officials joined the secretary-general in welcoming the new Agreement, including President of the UN General Assembly Mogens Lykketoft.",2015 - 12 - 13
The Times of India,"Paris pact not enough to save the world
",,"Civil society groups and green think-tanks from South Asia did not appear too enthused with the Paris agreement which, they said, was not ambitious enough to save the world from disastrous consequences of climate change.
After going through the fine print of the global climate agreement, New Delhi-based think-tank Centre for Science and Environment (CSE) said it was a compromise deal and in many ways it could be termed “lowest minimum denominator”.


Climate Action Network South Asia (CANSA), a coalition of over 141 civil society groups from South Asia, on the other hand, called the agreement “durable and dynamic” but said it had fallen short of being fully fair and responsive to future needs.
CSE noted the developing countries had got “words” and promises of money while developed countries had finally got rid of their historical responsibility of causing climate change. The think-tank said rich nations had no legally binding targets on quantum of finance ($100 billion) or emissions cuts. The phrase ‘historical responsibility’ has been erased from the agreement and this weakens the obligations of developed countries to take actions due to their past emissions. Without historical responsibility, equity will now be interpreted only through the words ‘respective capabilities and national circumstances’, further removing differentiation between the climate actions of developed and developing countries,” Chandra Bhushan, deputy director general of CSE, said.


“To erase any notion of historical responsibility, the developed countries have gone to the extent of mentioning in the text that the loss and damage due to climate change does not involve or provide a basis for any liability or compensation,” he added.
CSE also feared that the deal would put the world on a path of 3 degrees Celsius and above of global warming as not much enhancement in ambition would happen for the next 10 years. It said the developed countries had not committed any significant finance or emission cuts before 2020.
“On the whole, the draft Paris agreement continues to be weak and unambitious, as it does not include any meaningful targets for developed countries to reduce their emissions. It notes that climate injustice is a concern of some and it maintains that the agreement will be under the UN convention. But as it does not operationalise equity and the term carbon budget didn’t even find mention in the text, this will end up furthering climate apartheid,” Sunita Narain, director general of CSE, said.
Sanjay Vashist, director of CANSA, said, “The onus is now on developed countries to fulfill their promises and scale up climate finance flows to support mitigation and adaptation efforts, especially for most vulnerable countries.”",2015 - 12 - 14
The Times of India,"PM Narendra Modi on Paris deal: Climate justice won
",,"Shortly after a climate change deal was reached by 195 nations in Paris, Prime Minister Narendra Modi hailed the historic accord, saying ""climate justice has won"".
""Outcome of Paris agreement has no winners or losers. Climate justice has won and we are all working towards a greener future,"" he tweeted from his personal handle.
Modi said the agreement demonstrated the ""collective wisdom"" of world leaders to mitigate climate change.

""Climate change remains a challenge but Paris agreement demonstrates how every nation rose to the challenge, working towards a solution,"" he said in another tweet.
The historic agreement in Paris signed by 195 countries was reached after tough deliberations for more than two weeks. Modi had visited Paris for the inauguration of the Conference of Parties or COP21, as the climate summit was known.

Just before the 31-page document was finalised, French President François Hollande, who hosted the conference, called up Modi to apprise him of the latest status at the talks.
""The Prime Minister appreciated this gesture of French President,"" a PMO statement said.",2015 - 12 - 13
The Times of India,"India is not happy with the first draft text of the Paris agreement on climate change, Javadekar says
",,"India on Wednesday expressed disappointment over the first draft text of the Paris climate change agreement, which was presented to the governments two days ago, and said the country's negotiators would submit suggestions during the next round of negotiations at Bonn.
In his first reaction to the draft text that completely ignores the crucial issue of 'equity' and transparency of action, environment and climate change minister Prakash Javadekarsaid, ""I would like to underline that the first draft text of the Paris agreement is quite disappointing.

It does not inspire.""
He told the TOI that he was not at all happy with the text.
The draft agreement is a concise basis for negotiations for the next session from October 19-23 in Bonn. Co-Chairs Ahmed Djoghlaf of Algeria and Daniel Reifsnyder of the US prepared the draft in response to a request from countries to have a better basis from which to negotiate.

Without going into the details of the text and India's specific objections, Javadekar said, ""We should certainly have a different text for the Paris meet to become a success. Our negotiators will submit India's suggestions. Other countries will also come out with their suggestions.
""This is, after all, not a final text. I hope that there will be more moderated and justifiable text on table after Bonn and other pre-COP (conference of parties) negotiations. I wish the things will improve in the run-up to Paris.""


Countries are committed to reaching the new agreement at the UN Climate Change Conference to be held in Paris in December this year.
It is learnt that besides its strong objection to an apparent attempt by the co-chairs to dilute the element of 'equity', India is also not happy with the review of greenhouse gas emission every five years. India has consistently been demanding that the Paris agreement must be equitable so that it can deliver justice.
Many nations, including developing countries like India, want reviews only once every decade, or only for developed countries.
The draft text has also not clearly dealt with the renewable energy issues nor does it specifically mention of a key deforestation mitigation program under REDD (Reducing Emissions from Deforestation and Forest Degradation) plus scheme which creates financial value for carbon stored in trees as an incentive for developing countries to reduce emissions.",2015 - 10 - 12
The Times of India,"Paris climate deal should reflect differentiated responsibilities
",,"The developing countries' bloc of Brazil, South Africa, India and China have underscored that the ambitious Paris Agreement on climate change to be adopted later this year should ""fully reflect"" differentiated responsibilities of developed and developing countries.
Developed countries should take the lead by undertaking ambitious emission reduction targets, ministers from the BASIC (Brazil, South Africa, India, China) bloc said as they met for the 20th Ministerial Meeting on Climate Change here over the weekend.


India was represented by Joint Secretary in the Ministry of Environment, Forests and Climate Change Ravi Prasad along with Brazil's Minister for the Environment Izabella Teixeira, South African Minister of Environmental Affairs Edna Molewa and Special Representative for Climate Change Affairs of China Xie Zhenhua.
In a joint statement issued after the ministerial, the ministers underscored the need for the Paris Agreement to address in a balanced manner all six elements identified in the Durban mandate - mitigation, adaptation, finance, capacity-building, technology development and transfer, transparency of action and support.

In this regard, they stressed that an ambitious outcome of the ADP (Durban Platform for Enhanced Action) should not focus solely on mitigation, but should also address the other elements in a balanced and comprehensive manner.
""With regards to mitigation, Ministers underscored the need for the provisions of the agreement to fully reflect differentiated responsibilities and distinct development stages of developed and developing countries, with developed countries taking the lead by undertaking ambitious, economy- wide, absolute emission reduction targets and providing finance and technology support to developing countries,"" the statement said.


It added that developing countries will also enhance their efforts, in the context of sustainable development, enabled and supported by finance, technology development and transfer and capacity-building from developed countries.",2015 - 06 - 29
The Times of India,"India and Germany sign mega green deal ahead of Paris agreement
",,"NEW DELHI: Recognizing ""renewable energy"" and ""efficient use of energy"" as most effective routes to mitigate climate-damaging greenhouse gas emissions, India and Germany on Monday decided to move on this path more aggressively under new 'India-German Climate and Renewable Alliance' and identified seven focus areas to intensify their ongoing cooperation.
Germany, on its part, will provide soft loans worth one billion Euros to India over the next five years in addition to 1.15 billion Euros that Berlin had committed earlier under 'Green Energy Corridors Partnership'.


The alliance will be a comprehensive partnership to harness ""technology, innovation and finance"" in order to make affordable, clean and renewable energy accessible to all and to foster climate change mitigation efforts in both countries.
Interestingly, both the countries also underlined that ""adaptation"" must be a central part of a balanced Paris climate agreement – the point which has consistently been raised by India despite being resisted by many rich nations who want a mitigation-centric deal.

The agreement on renewable energy, signed between India and Germany, is perfectly in tune with what New Delhi had promised in its 'climate action plan' (called Intended Nationally Determined Contribution - INDC) last week.
India had told the UN body on climate change on October 1 that the country would increase its share of clean energy by nearly 40% of its total energy mix by the year 2030, provided it gets support of finance and technology from the developed countries. New Delhi also highlighted that the country would need $ 2.5 trillion for this purpose by 2030.


This is where the new 'India-German Climate and Renewable Alliance' will come as a boost for India's efforts to move on low carbon growth path. Prime Minister Narendra Modi too flagged this issue in his statement at joint press briefing with visiting German chancellor Angela Merkel here on Monday while recognizing German's cooperation.
He said, ""I admire German leadership in clean energy and commitment to combating climate change. This is an area where we have convergence of views, and rapidly growing cooperation. We have agreed on India-Germany Climate and Renewable Alliance with a long term vision and a comprehensive agenda of combating climate change.
""I place great value on Germany's assistance of over one billion Euros for India's Green Energy Corridor and a new assistance package of over a billion Euros for solar projects in India"".
Both the countries also decided to explore opportunities in enhancing cooperation in the field of ""climate risk insurance"" – an area which is expected to get new focus in the wake of a global climate deal in Paris in December.
Referring to the possible outcome of the Paris climate deal, both India and Germany reaffirmed that ""the protocol, another legal instrument or agreed outcome with legal force under the (UN) Convention applicable to all Parties (countries)"" will address in a balanced manner all key elements like mitigation, adaptation, finance, technology development and transfer, and capacity-building, and transparency of action and support.
India has consistently been pitching for any such agreement in future that must recognize all these elements under the United Nations Framework Convention on Climate Change (UNFCCC).
Underlining joint efforts of countries to address issues concerning climate change, both India and Germany also launched an 'India-German Working Group on Climate Change' under the India-German Environment Forum.
Both the countries ""regularly discuss climate policy and exchange views with regard to India's and Germany's transition to low-carbon economies and associated co-benefits for sustainable development"" under the Forum.
Modi and Merkel also agreed that state and city level entities should be supported to harness new technologies, policies, financing mechanisms, and economic incentives to reduce emissions.
""India and Germany will work together to develop and implement solutions that strengthen climate friendly urban development, including, inter alia, through initiatives in energy transition in cities, climate friendly urban mobility, energy efficiency in the housing sector, energy efficiency in urban water supply as well as recycling and waste management in major Indian cities"", said the joint statement.
Acknowledging that climate change responses and solutions generate new opportunities and co-benefits by creating jobs, spurring economic development and improving air quality, both the countries agreed to intensify their ongoing cooperation on climate and renewables technology under the new Indo-German Climate and Renewables Alliance.
The alliance will have seven focus areas: Next generation solar technology, Renewable energy storage, Climate-friendly space cooling technologies, Super-efficient appliances and buildings, Zero emission passenger and freight vehicles, energy-efficient rail and water infrastructure and offshore wind.
Prime Minister Modi, in the joint statement, emphasized India's ongoing efforts to create a market environment that will promote trade and investment in climate technology.",2015 - 10 - 05
The Times of India,"Paris accord offers hope but could have done more: India
",,"PARIS: Prime Minister Narendra Modi on Sunday welcomed the climate change agreement as the victory of “climate justice” and said there were no winners or losers even as environment minister Prakash Javadekar said 196 countries had not only adopted an agreement but a “new chapter of hope” in the lives of 7 billion people across the globe. The minister, however, added that the agreement could have been “more ambitious”.
“Outcome of Paris Agreementhas no winners or losers.

Climate justice has won and we are all working towards a greener future,” Modi tweeted. “Climate change remains a challenge but Paris Agreement demonstrates how every nation rose to the challenge, working towards a solution,” he added. “Deliberations at COP21 and Paris Agreement demonstrate the collective wisdom of world leaders to mitigate climate change,” the PM said in another tweet.

Earlier, addressing the closing plenary of the climate summit that continued for hours after final adoption of the agreement, Javadekar, who was India’s head of delegation, said, “The Paris agreement acknowledges and recognizes the development imperatives of India and other developing countries.” India, however, had some concerns over the deal, much like Turkey, Nicaragua and other countries including small island nations. “We share the concern of several friends that this agreement does not put us on the path to prevent temperature rise below 2 degree (Celsius) and that the actions of developed countries are far below their historical responsibilities and fair shares,” Javadekar said.


Noting that give and take was normal in negotiations, the minister said, “We are of the opinion that the agreement could have been more ambitious.” He also emphasized that India in a “spirit of compromise agreed on a number of phrases in the agreement”. Referring to points which India agreed to in the deal, Javadekar said, “We are happy that the agreement has unequivocally acknowledged the imperative of climate justice -- which we have no doubts reflects common sentiments -- and has based itself on the principles of equity and common but differentiated responsibilities. The agreement also acknowledges the importance of sustainable lifestyles and sustainable consumption pattern.”
Later, he told reporters, “I hope that the commitments made are fulfilled. This will be new beginning. Paris has succeeded. It was under terror attack last month. This month, Paris has proved that the world comes together and that is the answer to mitigate the challenge posed by climate change.”
Asked about the compromises on points like mitigation, finance and loss and damage, Javadekar said, “When 196 countries are putting their efforts together, you need to be accommodative without changing the thrust of the agreement. We have done everything to maintain the thrust.”
The question was asked in the context of excluding quantum of finance ($100 billion) from the legal part of the text and giving room to developed countries while replacing the word “shall” (compulsory) with “should” (not mandatory) in the approved text in terms of their mitigation (emission cut) actions. The closing plenary was told that the replacement was needed as it was a typo in the final negotiation text.
On the next course of action, Javadekar said, “It will be continuous work from here till 2020 to have a new mechanism. At the same time, all nations are bound by the INDCs and they will be reporting (their climate actions to the UN body).”
Calling the climate summit an “absolute success”, he said, “We are also happy that the agreement differentiates between the actions of developed and developing countries across its elements (mitigation, adaptation, finance, technology transfer, capacity building and transparency). India has consistently said that the path to climate ambition must be paved with equity. I am happy that the agreement has recognized this.” ",2015 - 12 - 14
The Times of India,"India expresses concerns over the draft of Paris agreement
",,"PARIS: Hours after the French presidency of the climate summit (COP21) came out with the first draft of the Paris agreement, India on Wednesday said that there were ""many points of departure"" in the text and much work was needed to reach a point of convergence.
The biggest group of 134 developing countries - G77 and China - too expressed similar concerns over the 29-page draft text and pointed out specific issues where negotiators need to converge in the next 48 hours to get a fair and effective climate deal.


Besides raising its concerns over the draft text, India also associated itself with the statements made on behalf of G77. India is part of this group.
Articulating India's view on the text, the country's environment minister Prakash Javadekar during the Paris Committee meeting here on late Wednesday night said, ""The latest draft is a starting point for our final push. But at this stage there are many points of departure. Much work is needed to reach a point of convergence"".

Listing the country's specific concerns, Javadekar in his statement said, ""The agreement that we are crafting must carefully balance climate ambition and the principle of differentiation. Both are equally important. We cannot have one without the other.
""It needs to be reaffirmed upfront in the agreement that it is under the Convention and in accordance with its principles. Its objective is to enhance the implementation of the Convention across all its pillars. This is crucial"".


Stating that the principles of the Convention must be stated correctly without any unnecessary additions, he emphasised that the agreement must also meaningfully operationalize differentiation across all its elements.
""This is not clear in the current draft"", he noted.
Showing flexibility on the part of India to reach a climate deal here, the minister said, ""Let me be clear. We are not suggesting that we remain stuck to the past. Surely, we must look forward and move steadily.
""But a durable agreement cannot be crafted by diluting historical responsibilities or by putting the polluters and the victims at the same level"".
He also stressed that the concept of INDCs is a great innovation and has proved a game-changer. ""It has enabled the participation of over 186 countries. Yet, INDCs are not even mentioned in the draft"", said Javadekar.
Referring to the long-term temperature goal where many countries, mainly the small island nations, have been insisting for staying within the 1.5 degree Celsius temperature rise limit instead of striving for staying within the 2 degree Celsius rise limit, the minister said India was ""deeply sensitive to the demands for higher climate ambition"".
He said, ""I understand fully the demand for mentioning 1.5 degrees (in the text), as we also have over 1300 islands in India. However, a 1.5 degree goal would require developed countries to massively reduce their emissions and massively ‘scale up’ their financial support to developing countries. This is not happening"".
Placing the country's demand in the text, the minister said, ""India is in favour of a robust transparency mechanism. This should apply not just to mitigation but all other elements, in particular finance.
""The transparency mechanism should cover all countries, in a differentiated manner. Implementing the current system – which has not yet been made operational – is an essential component to build capacity and experience in developing countries. A transition period is therefore needed before changes could be made"".
On the issue of climate finance where rich countries have to contribute money to the Green Climate Fund to help out poor and developing countries for their adaptation efforts, the minister said that it was ""deeply disappointing"" that on the one hand developed countries were not fulfilling their obligations and on the other hand, they were trying to shift their responsibilities to developing countries themselves.
""There is no indication of scaling up of finance nor a clear roadmap"", he said.
Highlighting these key points from India's perspective, the minister said, ""We also find that several of our other concerns, such as unilateral measures, sustainable lifestyles and climate justice do not find a mention in the draft. We will examine the draft carefully and engage with all our partners to reach an agreement"".",2015 - 12 - 10
The Times of India,New version of the draft Paris agreement released,,"PARIS: The French presidency of the COP21 (21st conference of parties) on Thursday night came out with a new and slight shorter version of the draft text of the Paris agreement. The 27-page draft text, comprises of all the key issues as options, will now be placed before the negotiators for night-long negotiation. A final draft of the proposed climate deal will thereafter be released on Friday. The new text incorporates India's demand of recognising sustainable lifestyles and patterns of consumption and production in dealing with the threats of climate change. The Para 16 of the draft agreement specifically refers to these points while flagging that the developed countries would take the lead and play an important role in addressing the climate change.
India had long been demanding insertion of lifestyle issue in the agreement ever since the Prime Minister Narendra Modi made a strong pitch for it. Even the country's environment minister Prakash Javadekar had on Wednesday night made this point during the Paris Committee meeting while reacting on the first draft text. As compared to 366 brackets and 47 options in Wednesday's draft, the new draft is quite an improved version with having only 50 brackets and 13 options -- it means the negotiators have been able to resolve many differences in the language of the text.
The concerns of the developing countries including India are there in the new version so that they can go to the negotiation with their options on differentiation, finance, stocktake and long-term goal intact.
If the countries will be able to seal the deal here in Paris, it will be signed in New York on April 22, 2016. The UN secretary general will invite the world leaders for the high-level signing ceremony.
According to the new draft, the first stocktake on country's climate action will take place in 2019 and thereafter every five years. It also says that the countries will be ""invited"" to resubmit their Intended Nationally Determined Contribution (INDC).
Since it categorically says that the countries will update and enhance their proposed actions in a ""nationally determined manner"", it will probably address the concerns of those countries who are opposed to this idea of review every five years.
All these issues will be discussed in the plenary which is convened at 11.30 PM Paris time (4 AM IST). After releasing the new version, the French foreign minister and COP21 president Laurent Fabius gave countries' negotiations a little over two hours of time to go through it and come out with their suggestions so that he would be able to come out with the final text on Friday.
As far as higher climate ambition is concerned, the temperature goal text refers to the well below 2 degree Celsius above pre-industrial level limit and even mentions the idea of pursuing efforts to limit the temperature increase to 1.5 degree Celsius.
As part of the long term goal, the text mentions reaching the greenhouse gas emissions neutrality in the second half of the century.
Though there is a whole article on the Loss and Damage, it carries a wide range of options -- meaning the negotiators will have to really find a common ground through hard negotiations specifically when rich nations are not much keen on the issue.




",2015 - 12 -11
