Source,Title,Author,Content/Description,Date
NYT,The Paris Agreement on Climate Change Is Official. Now What?,By Keith Bradsher,"Top energy policy makers and corporate leaders say it will be challenging to meet even the deal’s modest goals to reduce emissions and greenhouse gases. Top energy policy makers and corporate leaders say it will be challenging to meet even the deal’s modest goals to reduce emissions and greenhouse gases. PARIS — When the landmark Paris Agreement to address climate change officially goes into effect on Friday, the Eiffel Tower and Arc de Triomphe will be floodlit green to celebrate the occasion. Now comes the hard work: figuring out the details.",2016-11-03
NYT,Trump’s Stance on the Paris Climate Agreement is Criticized by 375 Scientists,By Andrew C. Revkin,"Without naming him, several hundred of the nation’s leading scientists press Donald Trump to take climate change, and climate diplomacy, seriously. Without naming him, several hundred of the nation’s leading scientists press Donald Trump to take climate change, and climate diplomacy, seriously. Yesterday, 375 members of the National Academy of Sciences, including 30 Nobel Prize winners, posted an open letter reviewing the basics of established climate science, decrying claims of hoax and hype spouted by Republicans during the presidential campaign and warning against the United States pulling out of the Paris Agreement on climate change.",2016-09-21
NYT,Obama and President Xi of China Vow to Sign Paris Climate Accord Promptly,By Coral Davenport,"Officials cast the announcement as a statement of resolve by the world’s two largest greenhouse gas polluters, even though there are doubts about whether the United States can meet its obligations. Officials cast the announcement as a statement of resolve by the world’s two largest greenhouse gas polluters, even though there are doubts about whether the United States can meet its obligations. WASHINGTON — President Obama and President Xi Jinping of China said Thursday that they would sign the Paris Agreement on climate change on April 22, the first day the United Nations accord will be open for government signatures.",2016-04-01
NYT,Draft Agreement for Paris Climate Negotiators,,The working version of text that negotiators at the Paris climate conference will mark up on Thursday. The working version of text that negotiators at the Paris climate conference will mark up on Thursday. The working version of text that negotiators at the Paris climate conference will mark up on Thursday.,2015-12-03
NYT,A New Draft Agreement for Paris Climate Negotiators,,A new version was released of the international agreement that negotiators at the Paris climate conference have been haggling over for more than a week. A new version was released of the international agreement that negotiators at the Paris climate conference have been haggling over for more than a week. A new version was released of the international agreement that negotiators at the Paris climate conference have been haggling over for more than a week.,2015-12-09
NYT,Dec. 10 Draft Agreement for Paris Climate Negotiators,,The latest version of the international agreement that negotiators at the Paris climate conference have been haggling over. The latest version of the international agreement that negotiators at the Paris climate conference have been haggling over. The latest version of the international agreement that negotiators at the Paris climate conference have been haggling over.,2015-12-11
NYT,On the Media and the [Landmark][Disastrous] Paris Climate Agreement,By Andrew C. Revkin,Journalists examine dueling proclamations of success and failure that emerged from Paris climate treaty talks. Journalists examine dueling proclamations of success and failure that emerged from Paris climate treaty talks. The public radio program On the Media sought me out this week to join host Brooke Gladstone and Jonathan M. Katz of The New Republic in a discussion of the many conflicting interpretations of the climate change agreement reached in Paris on December 12. (I laid out my views in a guest Opinion column last Sunday.),2015-12-19
NYT,Paris Climate Deal Passes Milestone as 20 More Nations Sign On,By Coral Davenport,"The moves essentially ensure that the agreement will go into force by the end of the year, but the specifics of each country’s plans to curb climate change are voluntary. The moves essentially ensure that the agreement will go into force by the end of the year, but the specifics of each country’s plans to curb climate change are voluntary. UNITED NATIONS — More than 20 world leaders tendered legal documents on Wednesday, formally binding their governments to the Paris climate accord at a General Assembly ceremony here and all but ensuring that the agreement will go into force by the end of the year.",2016-09-22
NYT,Leaders Move to Convert Paris Climate Pledges Into Action,By Sewell Chan and Melissa Eddy,"Much of the burden for maintaining the momentum of Paris now shifts back to individual countries, and concrete steps for delivering on their pledges. Much of the burden for maintaining the momentum of Paris now shifts back to individual countries, and concrete steps for delivering on their pledges. PARIS — Before the applause had even settled in the suburban convention center where the Paris Agreement was adopted by consensus on Saturday night, world leaders warned that momentum from the historic accord must not be allowed to dissipate.",2015-12-13
NYT,A Sequel to the Paris Climate Accord Takes Shape in Vienna,By Coral Davenport,"Negotiators from around the world are working toward a ban on hydrofluorocarbons, coolants that replaced ozone-depleting chemicals but brought global warming problems of their own. Negotiators from around the world are working toward a ban on hydrofluorocarbons, coolants that replaced ozone-depleting chemicals but brought global warming problems of their own. WASHINGTON — When negotiators from nearly 200 countries gathered outside Paris in December for the United Nations summit meeting on climate change, they reached the first agreement to take action on curbing their planet-warming pollution.",2016-07-23
NYT,Supreme Court’s Blow to Emissions Efforts May Imperil Paris Climate Accord,By Coral Davenport,"Polluters like China and India may balk at following through on the Paris Agreement on cutting emissions if the United States fails to carry out strong policies. Polluters like China and India may balk at following through on the Paris Agreement on cutting emissions if the United States fails to carry out strong policies. WASHINGTON — The Supreme Court’s surprise decision Tuesday to halt the carrying out of President Obama’s climate change regulation could weaken or even imperil the international global warming accord reached with great ceremony in Paris less than two months ago, climate diplomats say.",2016-02-10
NYT,"Ahead of Paris Climate Talks, a Draft Climate [Agreement][Accord][Pact] Emerges",By Andrew C. Revkin,"A small team of [diplomats][functionaries] has delivered a draft climate [agreement][other] to the world’s governments. A small team of [diplomats][functionaries] has delivered a draft climate [agreement][other] to the world’s governments. It’s bracket time again in the surreal, but necessary, world of climate change diplomacy.",2015-10-06
NYT,U.S. and China Reach Climate Agreement,By REUTERS,President Obama and President Xi Jinping of China formally committed to the Paris climate agreement on Saturday. President Obama and President Xi Jinping of China formally committed to the Paris climate agreement on Saturday. President Obama and President Xi Jinping of China formally committed to the Paris climate agreement on Saturday.,2016-09-03
NYT,"In Paris, Negotiators Trim a Draft Climate Agreement, Climate Scientists Press for Nuclear Energy, Activists Prepare for Failure",By Andrew C. Revkin,"Negotiators trim a climate agreement as climate scientists press for nuclear power and activists gird for failure. Negotiators trim a climate agreement as climate scientists press for nuclear power and activists gird for failure. In theory, the goal of the Paris talks over a new global climate agreement is to create a more sustainable human relationship with the climate system by curbing emissions of greenhouse gases and boosting poor countries’ capacity to withstand climate shocks.",2015-12-04
NYT,Inside the Paris Climate Deal,"By CORAL DAVENPORT, JUSTIN GILLIS, SEWELL CHAN and MELISSA EDDY",Highlights from the final draft text of a climate agreement submitted to the delegates in Paris. Highlights from the final draft text of a climate agreement submitted to the delegates in Paris. Highlights from the final draft text of a climate agreement submitted to the delegates in Paris.,2015-12-12
NYT,Climate Conference Reaches Agreement,By REUTERS,Global leaders celebrated a landmark accord on climate change on Saturday after nearly 200 nations agreed to the deal. Global leaders celebrated a landmark accord on climate change on Saturday after nearly 200 nations agreed to the deal. Global leaders celebrated a landmark accord on climate change on Saturday after nearly 200 nations agreed to the deal.,2015-12-12
NYT,Paris Can't Be Another Copenhagen,By Kevin Rudd,"A former prime minister of Australia argues that the success of the next climate change conference hangs on cooperation between the U.S., China, India and the E.U. A former prime minister of Australia argues that the success of the next climate change conference hangs on cooperation between the U.S., China, India and the E.U. As a former prime minister of Australia, I understand something of the political costs leaders must bear in aiming to reconcile the long-term interests of the planet with short-term national interests.",2015-05-25
NYT,Putin: Climate agreement must be legally binding,By REUTERS,"Russian President Vladimir Putin says Paris climate talks should end in a ""legally binding"" agreement, at opening ceremony of international conference. Deborah Lutterbeck reports. Russian President Vladimir Putin says Paris climate talks should end in a ""legally binding"" agreement, at opening ceremony of international conference. Deborah Lutterbeck reports. Russian President Vladimir Putin says Paris climate talks should end in a ""legally binding"" agreement, at opening ceremony of international conference. Deborah Lutterbeck reports.",2015-11-30
NYT,Falling Short on Climate in Paris,By Bill McKibben,"World leaders made promises for climate action in Paris. Now they must be held accountable. World leaders made promises for climate action in Paris. Now they must be held accountable. Paris — THE climate news last week came out of Paris, where the world’s nations signed off on an agreement to finally begin addressing global warming.",2015-12-14
NYT,Protesters Are in Agreement as Well: Pact Is Too Weak,By Alissa J. Rubin and Elian Peltier,"Even as a final draft of an agreement was reached, crowds made clear their belief that it would take much more than those measures to halt global climate change. Even as a final draft of an agreement was reached, crowds made clear their belief that it would take much more than those measures to halt global climate change. PARIS — Several thousand climate activists from across Europe and many from farther afield gathered peacefully near the Arc de Triomphe on Saturday to protest the outcome of the COP 21 climate conference about 12 miles away.",2015-12-12
NYT,The Destination in Paris Climate Talks Was a Journey That Begins Now,By Andrew C. Revkin,"A long diplomatic journey sought a binding climate change accord, and a reboot seeks a long journey. A long diplomatic journey sought a binding climate change accord, and a reboot seeks a long journey. Between the tumultuous breakdown in Copenhagen in 2009 and the cheers and bubbly in Paris on Saturday, climate change diplomacy underwent a grand metamorphosis.",2015-12-12
NYT,Wrangling Appears to Give Way to a Deal in Paris Climate Talks,By Andrew C. Revkin,"A discussion of the end-game tussles in the Paris climate talks, which included some bluster from Secretary of State John Kerry. A discussion of the end-game tussles in the Paris climate talks, which included some bluster from Secretary of State John Kerry.  Agence France-Presse is reporting that a deal has been struck on final text for a climate agreement after two weeks of talks, with the draft to be presented to ministers late morning on Saturday. Sometimes, such early reports can fizzle, so stay tuned.",2015-12-11
NYT,The Paris Climate Accord,,A group of nations in Paris reached a landmark agreement to cut back planet-warming emissions of greenhouse gas. A group of nations in Paris reached a landmark agreement to cut back planet-warming emissions of greenhouse gas. A group of nations in Paris reached a landmark agreement to cut back planet-warming emissions of greenhouse gas.,2015-12-12
NYT,‘Aviation’s Paris Moment’ as Nations Near Emissions Deal,By Henry Fountain,"The measure would be a major step in reducing the effect of an often-overlooked contributor to climate change: greenhouse gas emissions from overseas flights. The measure would be a major step in reducing the effect of an often-overlooked contributor to climate change: greenhouse gas emissions from overseas flights. Looking to build on momentum from the Paris climate agreement’s milestone last week, government officials will gather in Montreal beginning Tuesday for final negotiations on a deal to cap greenhouse gas emissions from international jet flights.",2016-09-26
NYT,Obama Discusses Climate Pact With Modi,By THE ASSOCIATED PRESS,"President Obama met with Prime Minister Narendra Modi of India on Tuesday, moving closer toward finalizing the Paris agreement to limit greenhouse gases. President Obama met with Prime Minister Narendra Modi of India on Tuesday, moving closer toward finalizing the Paris agreement to limit greenhouse gases. President Obama met with Prime Minister Narendra Modi of India on Tuesday, moving closer toward finalizing the Paris agreement to limit greenhouse gases.",2016-06-07
NYT,What Narendra Modi Can Do in Paris,By The Editorial Board,"The country has to be central to any accord, and its new clean energy initiatives show it can lead. The country has to be central to any accord, and its new clean energy initiatives show it can lead. India has emerged as one of the most critical participants in the Paris meeting on climate change, where delegations from 196 countries are gathered this week to hammer out an agreement to reduce carbon emissions.",2015-12-02
